City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
251,Queenstown,ZA,-31.8976,26.8753,46.6,44,4,6.6,clear sky
252,Bonavista,CA,48.6499,-53.1147,39.76,94,76,21.43,broken clouds
253,Moerai,PF,-22.4333,-151.3333,74.03,71,100,23.71,overcast clouds
254,Husavik,IS,66.0449,-17.3389,40.21,91,93,13.18,overcast clouds
255,Nkhotakota,MW,-12.9274,34.2961,63.37,68,0,8.34,clear sky
256,Acari,PE,-15.4311,-74.6158,67.96,71,75,2.28,broken clouds
257,Sur,OM,22.5667,59.5289,85.55,59,23,9.55,few clouds
258,Bani,DO,18.2833,-70.3333,85.44,82,89,7.65,overcast clouds
259,Laguna,US,38.421,-121.4238,83.44,53,0,13.8,clear sky
260,Skjervoy,NO,70.0311,20.9714,50.0,85,73,7.94,broken clouds
261,Vila Velha,BR,-20.3297,-40.2925,75.15,87,75,13.0,broken clouds
262,Nabire,ID,-3.3667,135.4833,81.28,79,75,1.59,broken clouds
263,Civitanova Marche,IT,43.307,13.7206,71.01,77,61,1.01,broken clouds
264,Ponta Delgada,PT,37.7333,-25.6667,65.12,94,75,4.61,broken clouds
265,Nhulunbuy,AU,-12.2333,136.7667,83.01,78,40,13.8,scattered clouds
266,Oktyabrskiy,RU,54.4815,53.471,59.45,95,97,4.88,light rain
267,Raton,US,36.9034,-104.4391,61.41,77,75,8.05,broken clouds
268,Awjilah,LY,29.1081,21.2869,80.02,34,0,13.13,clear sky
269,Lar,IN,26.2039,83.9717,87.69,60,79,7.94,broken clouds
270,Sitka,US,57.0531,-135.33,63.86,63,98,4.97,overcast clouds
271,San Quintin,MX,30.4833,-115.95,65.93,69,8,12.03,clear sky
272,Letterkenny,IE,54.95,-7.7333,47.88,94,3,3.56,clear sky
273,Roebourne,AU,-20.7833,117.1333,64.89,56,37,13.0,scattered clouds
274,Bay City,US,43.5945,-83.8889,71.92,23,0,17.27,clear sky
275,Leh,IN,34.1667,77.5833,44.89,58,15,4.5,few clouds
276,Gizo,SB,-8.103,156.8419,83.73,70,93,5.35,overcast clouds
277,Robstown,US,27.7903,-97.6689,92.01,53,40,13.8,thunderstorm
278,Nebolchi,RU,59.1239,33.3454,47.71,97,85,6.31,overcast clouds
279,Sao Filipe,CV,14.8961,-24.4956,76.33,70,71,9.84,broken clouds
280,Praia,CV,14.9215,-23.5087,75.74,73,20,23.02,few clouds
281,Gornopravdinsk,RU,60.05,69.9,33.39,73,65,7.87,broken clouds
282,Luau,AO,-10.7073,22.2247,55.78,62,34,5.03,scattered clouds
283,Bam,IR,29.106,58.357,75.61,15,0,9.95,clear sky
284,Kaitangata,NZ,-46.2817,169.8464,49.78,65,27,4.07,scattered clouds
285,Lorengau,PG,-2.0226,147.2712,84.2,65,24,9.6,few clouds
286,Jacareacanga,BR,-6.2222,-57.7528,73.44,97,88,1.74,overcast clouds
287,Acapulco,MX,16.8634,-99.8901,82.47,73,57,8.77,broken clouds
288,Grand Forks,US,47.9417,-97.4337,71.53,24,0,10.36,clear sky
289,Lubao,PH,14.9167,120.55,83.91,68,19,1.36,few clouds
290,Porto Walter,BR,-8.2686,-72.7439,73.02,96,90,1.3,overcast clouds
291,Touros,BR,-5.1989,-35.4608,76.71,86,99,6.69,overcast clouds
292,Fairbanks,US,64.8378,-147.7164,78.24,23,0,5.75,clear sky
293,Sibu,MY,2.3,111.8167,73.71,94,20,5.01,few clouds
294,Butaritari,KI,3.0707,172.7902,80.58,74,44,6.29,scattered clouds
295,Hermiston,US,45.8404,-119.2895,77.47,50,100,3.0,overcast clouds
296,Morondava,MG,-20.2833,44.2833,70.34,61,0,12.12,clear sky
297,Lavrentiya,RU,65.5833,-171.0,49.78,54,59,8.88,broken clouds
298,Tasiilaq,GL,65.6145,-37.6368,29.08,76,2,5.79,clear sky
299,Bonfim,BR,3.0833,-59.95,77.74,80,82,6.33,broken clouds
300,Agadir,MA,30.4202,-9.5982,66.65,85,1,5.64,clear sky
301,Upata,VE,8.0086,-62.3989,72.19,91,75,5.68,broken clouds
302,Carnarvon,AU,-24.8667,113.6333,63.03,48,46,14.74,scattered clouds
303,Kununurra,AU,-15.7667,128.7333,80.58,65,40,8.05,scattered clouds
304,Parana,AR,-31.732,-60.5238,51.57,72,9,12.1,clear sky
305,Saldanha,ZA,-33.0117,17.9442,46.45,81,52,7.27,broken clouds
306,Matagami,CA,49.7502,-77.6328,66.31,37,20,8.05,few clouds
307,Roma,US,43.2128,-75.4557,60.03,76,1,4.68,clear sky
308,Gat,IL,31.61,34.7642,77.4,61,0,2.84,clear sky
309,Grindavik,IS,63.8424,-22.4338,44.55,75,75,9.22,broken clouds
310,Kargil,IN,34.5667,76.1,44.15,53,3,5.21,clear sky
311,Shagonar,RU,51.5333,92.8,53.47,57,96,1.21,overcast clouds
312,Maloy,NO,61.9353,5.1136,47.93,90,99,11.99,overcast clouds
313,Ewa Beach,US,21.3156,-158.0072,83.08,61,3,8.55,clear sky
314,Vao,NC,-22.6667,167.4833,71.26,64,5,10.58,clear sky
315,Rayong,TH,12.8333,101.4333,84.79,99,100,6.26,overcast clouds
316,Flinders,AU,-34.5833,150.8552,58.05,62,19,11.99,few clouds
317,Two Rivers,US,44.1539,-87.5693,60.17,62,0,3.0,clear sky
318,Kihei,US,20.785,-156.4656,81.97,81,22,4.38,few clouds
319,Alice Springs,AU,-23.7,133.8833,51.35,87,0,0.0,clear sky
320,Berlevag,NO,70.8578,29.0864,42.6,100,100,14.97,light rain
321,Inirida,CO,3.8653,-67.9239,71.31,99,98,0.89,overcast clouds
322,Myitkyina,MM,25.3833,97.4,74.07,99,100,0.6,overcast clouds
323,Saryg-Sep,RU,51.5,95.6,49.28,41,48,4.41,scattered clouds
324,Esso,RU,55.9333,158.7,54.37,52,96,3.89,overcast clouds
325,Kampong Thum,KH,12.7111,104.8887,77.32,92,100,2.28,overcast clouds
326,Djougou,BJ,9.7085,1.666,73.44,83,67,3.96,light rain
327,Chifeng,CN,42.2683,118.9636,64.89,76,100,2.28,overcast clouds
328,Hofn,IS,64.2539,-15.2082,52.11,69,100,8.97,overcast clouds
329,Manga,BF,11.6636,-1.0731,89.96,38,52,7.7,broken clouds
330,Mar Del Plata,AR,-38.0023,-57.5575,49.08,70,0,5.75,clear sky
331,Scarborough,GB,54.2797,-0.4044,51.78,83,11,3.0,few clouds
332,Coihaique,CL,-45.5752,-72.0662,35.55,80,75,5.75,broken clouds
333,Umm Lajj,SA,25.0213,37.2685,83.53,51,8,9.69,clear sky
334,Chara,RU,56.9064,118.2631,58.98,53,74,4.56,broken clouds
335,Valparaiso,CL,-33.0393,-71.6273,54.48,80,75,5.75,moderate rain
336,Prieska,ZA,-29.6641,22.7474,53.98,40,0,6.51,clear sky
337,La Plata,AR,-34.9215,-57.9545,48.81,68,62,8.34,broken clouds
338,Dali,CN,25.7,100.1833,65.48,83,48,3.83,scattered clouds
339,Ranau,MY,5.9538,116.6641,74.55,86,60,0.87,broken clouds
340,Campeche,MX,19.0,-90.5,78.89,80,48,4.54,scattered clouds
341,Kolchugino,RU,56.3,39.3833,46.11,95,0,5.12,clear sky
342,Zaozerne,UA,45.1582,33.2787,67.8,85,16,17.52,few clouds
343,Porto Santo,PT,33.072,-16.3415,64.78,77,40,11.5,scattered clouds
344,Krasnyy Yar,RU,46.5331,48.3456,60.73,44,12,6.31,few clouds
345,Alugan,PH,12.2188,125.4808,84.96,68,87,5.46,overcast clouds
346,Portland,US,45.5234,-122.6762,64.56,73,100,9.22,light rain
347,Buerarema,BR,-14.9594,-39.2997,77.59,98,100,2.46,overcast clouds
