City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
193,Calamar,CO,2022-05-31 16:57:17,10.2511,-74.9146,86.18,69,100,7.02
194,Farsund,NO,2022-05-31 16:57:18,58.0948,6.8047,53.94,100,86,11.63
195,Provideniya,RU,2022-05-31 16:57:18,64.3833,-173.3,42.4,73,48,0.83
196,Surt,LY,2022-05-31 16:57:18,31.2089,16.5887,81.3,42,49,19.42
197,Faanui,PF,2022-05-31 16:57:19,-16.4833,-151.75,79.83,68,69,11.79
198,Ajdabiya,LY,2022-05-31 16:57:19,30.7554,20.2263,79.34,40,8,17.58
199,Laguna,US,2022-05-31 16:57:19,38.421,-121.4238,76.32,31,0,17.27
200,Margate,GB,2022-05-31 16:57:20,51.3813,1.3862,52.7,80,84,3.0
201,Arlit,NE,2022-05-31 16:57:20,18.7369,7.3853,105.78,5,3,3.91
202,Bull Savanna,JM,2022-05-31 16:57:20,17.8868,-77.5902,84.52,62,90,18.43
203,Severo-Kurilsk,RU,2022-05-31 16:57:21,50.6789,156.125,40.82,94,100,3.04
204,Zlotow,PL,2022-05-31 16:54:36,53.3635,17.0408,60.44,64,92,6.11
205,Sabang,ID,2022-05-31 16:57:21,5.8933,95.3214,82.87,73,55,22.35
206,Ulladulla,AU,2022-05-31 16:57:21,-35.35,150.4667,47.3,61,4,19.15
207,Nanortalik,GL,2022-05-31 16:57:22,60.1432,-45.2371,39.83,81,100,2.77
208,San Patricio,US,2022-05-31 16:57:22,28.017,-97.5169,91.18,54,34,18.52
209,Vila Franca Do Campo,PT,2022-05-31 16:57:22,37.7167,-25.4333,63.19,76,78,17.76
210,Cap Malheureux,MU,2022-05-31 16:57:23,-19.9842,57.6142,74.46,60,3,8.99
211,San Rafael,AR,2022-05-31 16:56:24,-34.6177,-68.3301,48.65,35,32,5.28
212,Lompoc,US,2022-05-31 16:57:23,34.6391,-120.4579,72.84,81,40,12.66
213,Buraydah,SA,2022-05-31 16:57:24,26.326,43.975,99.05,8,0,12.8
214,Saint Anthony,US,2022-05-31 16:57:24,45.0205,-93.218,71.87,70,100,16.11
215,Predivinsk,RU,2022-05-31 16:57:24,57.0669,93.4378,47.86,61,63,1.77
216,Sao Filipe,CV,2022-05-31 16:57:25,14.8961,-24.4956,76.23,78,17,13.33
217,Elk Plain,US,2022-05-31 16:57:25,47.0532,-122.3976,61.21,73,0,5.01
218,Barcelos,PT,2022-05-31 16:57:25,41.5388,-8.6151,67.84,89,100,2.95
219,Inirida,CO,2022-05-31 16:57:27,3.8653,-67.9239,82.54,81,96,2.39
220,Yokadouma,CM,2022-05-31 16:57:27,3.5167,15.05,70.02,97,93,4.59
221,San Luis,AR,2022-05-31 16:57:27,-33.295,-66.3356,51.78,35,98,6.91
222,Te Horo,NZ,2022-05-31 16:57:28,-40.8084,175.1233,60.8,82,100,7.0
223,Grootfontein,NA,2022-05-31 16:57:28,-19.5667,18.1167,69.37,19,1,10.36
224,Harper,LR,2022-05-31 16:57:28,4.375,-7.7169,81.84,72,48,8.25
225,Lugo,ES,2022-05-31 16:57:29,43.0,-7.5,64.76,97,73,1.99
226,Sur,OM,2022-05-31 16:57:29,22.5667,59.5289,87.01,60,0,10.2
227,Christchurch,NZ,2022-05-31 16:57:17,-43.5333,172.6333,55.9,73,100,14.97
228,Noumea,NC,2022-05-31 16:57:29,-22.2763,166.4572,78.01,99,46,3.67
229,Hobyo,SO,2022-05-31 16:57:30,5.3505,48.5268,78.98,83,2,26.55
230,Noyabrsk,RU,2022-05-31 16:57:30,63.1994,75.4507,48.81,48,35,15.61
231,Harnai,PK,2022-05-31 16:57:30,30.1005,67.9374,83.5,7,5,7.67
232,Porirua,NZ,2022-05-31 16:57:31,-41.1333,174.85,60.55,92,100,25.3
233,Petersburg,US,2022-05-31 16:57:31,37.2279,-77.4019,94.87,50,0,5.75
234,Makakilo City,US,2022-05-31 16:57:31,21.3469,-158.0858,75.18,79,4,10.76
235,Yumen,CN,2022-05-31 16:58:32,40.2833,97.2,69.57,16,54,15.12
236,Tahoua,NE,2022-05-31 16:58:33,14.8888,5.2692,106.23,4,2,12.59
237,Storslett,NO,2022-05-31 16:58:33,69.7678,21.0247,64.4,42,0,4.61
238,Talnakh,RU,2022-05-31 16:58:34,69.4865,88.3972,34.21,84,91,12.97
239,Salinas,US,2022-05-31 16:58:34,36.6777,-121.6555,69.57,72,3,5.19
240,Ribeira Grande,PT,2022-05-31 16:58:34,38.5167,-28.7,66.6,63,40,16.11
241,Drovyanaya,RU,2022-05-31 16:58:35,51.5833,113.0333,42.3,91,25,4.32
242,Paita,PE,2022-05-31 16:58:35,-5.0892,-81.1144,71.46,66,75,11.83
243,Karpathos,GR,2022-05-31 16:58:35,35.507,27.2132,73.36,78,0,18.41
244,Kavieng,PG,2022-05-31 16:58:36,-2.5744,150.7967,81.48,73,22,11.01
245,De-Kastri,RU,2022-05-31 16:58:36,51.4667,140.7833,41.83,97,99,6.11
246,Villa Maria,AR,2022-05-31 16:58:36,-32.4075,-63.2402,55.44,23,97,9.19
247,Los Llanos De Aridane,ES,2022-05-31 16:58:37,28.6585,-17.9182,74.95,70,40,6.91
248,Bilma,NE,2022-05-31 16:58:37,18.6853,12.9164,102.24,6,1,3.65
249,Lavrentiya,RU,2022-05-31 16:58:37,65.5833,-171.0,37.78,84,26,1.41
250,Ribas Do Rio Pardo,BR,2022-05-31 16:58:38,-20.4431,-53.7592,73.76,71,100,2.3
251,Acari,PE,2022-05-31 16:58:38,-15.4311,-74.6158,73.6,50,98,8.59
252,Yol,IN,2022-05-31 16:58:38,32.1667,76.2,81.28,28,21,7.25
253,General Pico,AR,2022-05-31 16:58:39,-35.6566,-63.7568,52.3,31,54,6.89
254,Torbay,CA,2022-05-31 16:58:39,47.6666,-52.7314,49.75,83,100,10.36
255,Tucuman,AR,2022-05-31 16:58:39,-26.8241,-65.2226,48.2,61,75,3.44
256,Thinadhoo,MV,2022-05-31 16:58:40,0.5333,72.9333,83.44,72,81,11.5
257,Jalu,LY,2022-05-31 16:58:40,29.0331,21.5482,92.17,11,95,9.28
258,Luzhou,CN,2022-05-31 16:58:40,28.8724,105.4405,74.19,90,87,1.88
259,Ola,RU,2022-05-31 16:58:41,59.5833,151.2833,44.15,90,100,1.3
260,Kakching,IN,2022-05-31 16:58:41,24.4833,93.9833,70.7,96,100,1.14
261,Manicore,BR,2022-05-31 16:58:41,-5.8092,-61.3003,85.95,74,100,2.3
262,Pangnirtung,CA,2022-05-31 16:58:42,66.1451,-65.7125,33.8,80,40,9.22
263,Cao Bang,VN,2022-05-31 16:58:42,22.6667,106.25,73.02,99,92,0.51
264,Kamyshlov,RU,2022-05-31 16:58:42,56.8428,62.7111,51.24,70,48,8.63
265,Esperance,AU,2022-05-31 16:58:43,-33.8667,121.9,56.23,71,96,5.44
266,Luganville,VU,2022-05-31 16:58:43,-15.5333,167.1667,79.88,85,55,7.29
267,Luderitz,NA,2022-05-31 16:58:43,-26.6481,15.1594,69.22,34,0,12.28
268,Pisco,PE,2022-05-31 16:58:43,-13.7,-76.2167,62.65,82,100,5.75
269,Port Victoria,KE,2022-05-31 16:58:44,0.0939,33.9756,72.37,69,13,6.93
270,Colares,PT,2022-05-31 16:58:44,38.7992,-9.4469,74.88,76,75,20.0
271,Mitoc,RO,2022-05-31 16:58:44,48.1,27.0333,65.75,78,95,6.35
272,Norman Wells,CA,2022-05-31 16:58:45,65.282,-126.8329,59.04,58,40,13.8
273,Lazaro Cardenas,MX,2022-05-31 16:58:45,17.9583,-102.2,84.31,53,93,7.25
274,Caucaia,BR,2022-05-31 16:58:45,-3.7361,-38.6531,87.75,69,40,16.11
275,Miles City,US,2022-05-31 16:58:46,46.4083,-105.8406,55.54,40,100,20.15
276,Ponta Delgada,PT,2022-05-31 16:58:46,37.7333,-25.6667,63.5,82,20,21.85
