City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Pak Phanang,TH,78.82,light rain,8.3511,100.202,Green Park Inn Hotel
454,Cabatuan,PH,82.83,scattered clouds,10.8794,122.486,MVC Transient Room
455,Sabzevar,IR,72.68,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
456,Rochester,US,69.55,clear sky,43.1548,-77.6156,Hyatt Regency Rochester
464,Garcia,MX,82.71,broken clouds,25.8167,-100.5833,"Priv.Paseo Alamedas,Garcia N.L"
465,Sosua,DO,86.23,overcast clouds,19.7667,-70.5167,Piergiorgio Palace Hotel
466,Chiriqui Grande,PA,79.45,overcast clouds,8.95,-82.1167,Hotel Atlantic
469,Shingu,JP,73.71,broken clouds,33.7333,135.9833,Shingu UI Hotel
470,Rawatsar,IN,86.22,clear sky,29.2833,74.3833,Honda Service Center
471,Poum,NC,76.96,broken clouds,-20.2333,164.0167,
474,Boa Vista,BR,76.41,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
475,Le Port,RE,71.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
476,Limbang,MY,78.91,overcast clouds,4.75,115.0,Purnama Hotel
477,Gamba,GA,72.84,light rain,-2.65,10.0,
479,Namibe,AO,73.36,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
480,Bosaso,SO,86.22,few clouds,11.2842,49.1816,Red Sea Hotel
482,Camopi,GF,71.91,overcast clouds,3.1655,-52.3158,La pousada
483,Khandyga,RU,73.72,scattered clouds,62.6667,135.6,Apel'sin
484,Victoria,HK,85.96,overcast clouds,22.2855,114.1577,Mini Central
485,Muncar,ID,78.13,broken clouds,-8.4333,114.3333,Zaky Homestay
488,Kayes,ML,95.72,scattered clouds,14.0,-11.0,
489,Aksay,RU,74.25,scattered clouds,47.26,39.87,Chernaya Zhemchuzhina
494,Cuiaba,BR,74.66,scattered clouds,-15.5961,-56.0967,Getúllio Hotel
495,Vera Cruz,BR,70.29,overcast clouds,-12.6333,-41.0333,
496,Labuhan,ID,78.48,scattered clouds,-6.8844,112.2051,DoubleFAG
498,Fredericksburg,US,76.01,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
499,Ternate,ID,82.2,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
505,Barreirinhas,BR,75.56,overcast clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
508,Ciudad Del Maiz,MX,79.93,clear sky,22.4,-99.6,Hotel Casona del General
511,Tutoia,BR,77.34,overcast clouds,-2.7619,-42.2744,Pousada Guará's
512,Aripuana,BR,76.86,scattered clouds,-9.1667,-60.6333,
514,Kiunga,PG,81.97,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
517,Dwarka,IN,81.68,few clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
519,Keti Bandar,PK,81.32,few clouds,24.1447,67.4497,Haji laloo memon house
520,Kaka,TM,72.99,clear sky,37.3482,59.6143,
521,Manono,CD,69.03,clear sky,-7.3,27.4167,Hotel hewa bora
524,Jalpaiguri,IN,75.61,broken clouds,26.5167,88.7333,"CAMELOT, JALPAIGURI"
525,Cuauhtemoc,MX,75.88,broken clouds,28.4167,-106.8667,Motel Tarahumara Inn
526,Oyama,JP,69.58,scattered clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
527,Kieta,PG,84.56,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
528,Dabhol,IN,79.12,broken clouds,17.6,73.1667,Ashwamedh Resort
532,Kutum,SD,73.42,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
533,Iracoubo,GF,77.61,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
534,Ahuimanu,US,82.85,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
535,Kalmunai,LK,78.51,overcast clouds,7.4167,81.8167,VS Villa
537,Xuddur,SO,69.87,broken clouds,4.1213,43.8894,Banjanay Hotel
538,Saint-Leu,RE,70.66,scattered clouds,-21.15,55.2833,La Caz Oceane
547,Ndele,CF,69.67,light rain,8.4109,20.6473,
548,Isangel,VU,76.73,few clouds,-19.55,169.2667,Tanna Lodge
549,Francisco Sa,BR,70.61,broken clouds,-16.4758,-43.4883,Amaralina Hotel
553,Pachmarhi,IN,79.77,overcast clouds,22.4667,78.4333,TBT Budget Stays
554,Saint-Louis,SN,95.74,few clouds,16.3333,-15.0,
556,Soubre,CI,73.17,overcast clouds,5.7856,-6.6083,Lynd Hotels Soubre
558,Coahuayana,MX,81.86,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
560,Ippy,CF,69.62,light rain,6.2679,21.2247,
561,Blackfoot,US,76.01,overcast clouds,43.1905,-112.345,Super 8 by Wyndham Blackfoot/Idaho Falls
562,Vanimo,PG,83.66,moderate rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
563,Port-Gentil,GA,76.28,overcast clouds,-0.7193,8.7815,Fengshui Residence
565,Sao Gabriel Da Cachoeira,BR,72.66,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
566,Bonthe,SL,79.02,light rain,7.5264,-12.505,Bonthe Holiday Village
570,China,MX,94.78,broken clouds,25.7,-99.2333,González Reyes Artemio
572,Acajutla,SV,80.2,overcast clouds,13.5928,-89.8275,Laureles
575,Belmonte,BR,73.71,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
577,Matara,LK,77.31,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
578,Dawlatabad,AF,70.79,clear sky,36.4141,64.9053,WASIM ASGAR KHAN
581,Kisangani,CD,70.52,light rain,0.5167,25.2,Grand Ramela Hotel
583,High Level,CA,74.62,clear sky,58.5169,-117.136,Days Inn by Wyndham High Level
584,Seoul,KR,74.77,broken clouds,37.5683,126.9778,롯데호텔 서울
586,Ariquemes,BR,78.33,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
587,Rawah,IQ,87.98,broken clouds,34.4816,41.9093,بيت سميع
589,Salinopolis,BR,79.27,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
590,Saltillo,MX,73.29,overcast clouds,25.4167,-101.0,City Express Saltillo Sur
591,La Palma,US,85.91,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
592,Tabuk,PH,81.48,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
594,Goure,NE,83.55,clear sky,13.9835,10.2704,
